,dipole
221,CC(=O)C=[O+][C-](C(C)=O)c1ccccc1
222,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C#N
223,CNC(=O)[N-][NH+]=C(C(C)=O)C(=O)OC
224,CC(=O)[C-]([NH+]=C(C#N)c1ccccc1)C(C)=O
225,CC=[NH+][CH-]C(=O)OC
226,CNC(=O)C(=[NH+][C-](C(=O)OC)C(=O)OC)C(=O)NC
227,COC(=O)C(=[O+][CH-]C(C)=O)c1ccccc1
228,COC(=O)[N-][O+]=C(C)C#N
229,CNC(=O)C(=[O+][C-](C(=O)NC)c1ccccc1)C(C)=O
230,C(=[NH+][CH-]c1ccccc1)c1ccccc1
231,COC(=O)C(C#N)=[NH+][N-]C#N
232,CNC(=O)[C-]([NH+]=C(C#N)C(=O)OC)c1ccccc1
233,COC(=O)C(C#N)=[O+][N-]C#N
234,COC(=O)[N-][O+]=C(C(C)=O)C(=O)OC
235,CC(=O)C(C#N)=[O+][C-](c1ccccc1)c1ccccc1
236,COC(=O)C(=[O+][CH-]c1ccccc1)C(=O)OC
237,COC(=O)[C-](C)[O+]=Cc1ccccc1
238,C=[O+][N-]C(=O)OC
239,CNC(=O)C(C#N)=[O+][C-](C(C)=O)C(C)=O
240,C[C-](C)[O+]=C(c1ccccc1)c1ccccc1
241,COC(=O)C(C(C)=O)=[N+](C)[N-]c1ccccc1
242,COC(=O)C(C(C)=O)=[N+](C)[C-](C#N)C#N
243,C[N+](=C(C#N)C#N)[C-](C#N)c1ccccc1
244,COC(=O)[C-]([O+]=CC#N)C(=O)OC
245,C[N+](=CC#N)[N-]c1ccccc1
246,CC(C#N)=[N+](C)[C-](C)c1ccccc1
247,CNC(=O)C(C(C)=O)=[N+](C)[N-]C#N
248,C[N-][N+](C)=CC#N
249,C[CH-][NH+]=CC(C)=O
250,C=[N+](C)[C-](C)c1ccccc1
251,COC(=O)[C-]([O+]=C(C)C)c1ccccc1
252,CNC(=O)[N-][O+]=C(C#N)C(C)=O
253,COC(=O)C=[NH+][O-]
254,C[N-][N+](C)=C(C(=O)OC)C(=O)OC
255,CC(=O)C=[O+][C-](C)c1ccccc1
256,CNC(=O)C(C#N)=[NH+][C-](C)C
257,C=[O+][CH-]c1ccccc1
258,COC(=O)C(C#N)=[NH+][C-](C)C(C)=O
259,C=[N+](C)[C-](C)c1ccccc1
260,CNC(=O)[C-]([NH+]=C(C#N)C#N)C(C)=O
261,COC(=O)C=[N+](C)[C-](C)c1ccccc1
262,COC(=O)C(c1ccccc1)=[N+](C)[CH-]C(C)=O
263,CC(=O)C(=[O+][C-](C(C)=O)c1ccccc1)C(C)=O
264,COC(=O)C=[NH+][C-](C(C)=O)C(=O)OC
265,CNC(=O)C=[N+](C)[CH-]C(=O)NC
266,CC(=O)C(=[NH+][N-]c1ccccc1)c1ccccc1
267,CC(C#N)=[N+](C)[C-](C#N)C#N
268,[CH2-][N+](C)=C(c1ccccc1)c1ccccc1
269,CNC(=O)[CH-][N+](C)=C(C#N)C#N
270,COC(=O)[C-](C)[N+](C)=C(C)C#N
271,C[N-][O+]=C(C(C)=O)c1ccccc1
272,COC(=O)[C-]([NH+]=C(C#N)C(C)=O)C(C)=O
273,COC(=O)C=[N+](C)[C-](C#N)C#N
274,CNC(=O)C(c1ccccc1)=[N+](C)[CH-]C(C)=O
275,C[CH-][O+]=C(C)C#N
276,[CH2-][O+]=C(C#N)c1ccccc1
277,C=[N+](C)[C-](C(C)=O)C(C)=O
278,COC(=O)[C-](C#N)[O+]=C(C)C(C)=O
279,CNC(=O)[CH-][N+](C)=Cc1ccccc1
280,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
281,CC(=O)C(c1ccccc1)=[N+](C)[N-]c1ccccc1
282,CNC(=O)[N-][NH+]=Nc1ccccc1
283,CNC(=O)C(=[NH+][CH-]C#N)C(=O)OC
284,CNC(=O)C(C#N)=[O+][C-](C)C#N
285,CNC(=O)[C-](C#N)[N+](C)=CC(=O)OC
286,CNC(=O)C(=[NH+][C-](C(=O)OC)c1ccccc1)C(=O)NC
287,CNC(=O)N=[O+][NH-]
288,CC(=O)[C-](C)[NH+]=C(C)c1ccccc1
289,N#C[CH-][O+]=Cc1ccccc1
290,COC(=O)[C-]([O+]=Cc1ccccc1)C(=O)OC
291,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(=O)OC)c1ccccc1
292,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
293,CC=[NH+][N-]c1ccccc1
294,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(=O)OC
295,CNC(=O)[C-]([O+]=C(C)C)C(=O)OC
296,C[N+](=C(C#N)C#N)[C-](c1ccccc1)c1ccccc1
297,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C#N)C(C)=O
298,CNC(=O)N=[NH+][N-]c1ccccc1
299,CC(=O)C(C#N)=[NH+][C-](C)C(C)=O
300,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
301,CNC(=O)C(C(=O)OC)=[N+](C)[N-]C(=O)OC
302,CNC(=O)C(=[NH+][CH-]C(=O)OC)C(=O)NC
303,CC(C)=[N+](C)[C-](C)c1ccccc1
304,CNC(=O)C(=[O+][C-](C)C(C)=O)C(=O)OC
305,COC(=O)C(C(=O)OC)=[N+](C)[N-]c1ccccc1
306,C=[NH+][N-]C(C)=O
307,COC(=O)C(C(=O)OC)=[N+](C)[O-]
308,C[CH-][NH+]=C(C)C#N
309,C[N-][NH+]=NC(=O)OC
310,CNC(=O)[C-]([NH+]=C(C(C)=O)c1ccccc1)C(=O)NC
311,CC=[N+](C)[C-](C(C)=O)c1ccccc1
312,N#C[C-]([O+]=Cc1ccccc1)c1ccccc1
313,[CH2-][N+](C)=C(C#N)C(C)=O
314,COC(=O)[C-](C)[O+]=CC#N
315,CNC(=O)[C-]([O+]=C(C(C)=O)c1ccccc1)C(=O)OC
316,COC(=O)C(C#N)=[N+](C)[C-](C#N)C(C)=O
317,C=[O+][C-](C)C
318,CC(=O)C(C)=[O+][C-](c1ccccc1)c1ccccc1
319,CC(=O)[CH-][N+](C)=C(C)C#N
320,CNC(=O)C(C#N)=[NH+][C-](C)C(C)=O
321,CC(=[NH+][C-](c1ccccc1)c1ccccc1)c1ccccc1
322,COC(=O)[C-](C(=O)OC)[N+](C)=CC(C)=O
323,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(C)=O
324,CNC(=O)C(=[O+][C-](C)C)C(C)=O
325,COC(=O)C(=[NH+][C-](C(=O)OC)c1ccccc1)C(=O)OC
326,CC(=O)N=[N+](C)[N-]C#N
327,CC(=O)C(C#N)=[O+][C-](c1ccccc1)c1ccccc1
