,dipole
150,CNC(=O)[C-]([O+]=C(C(=O)OC)C(=O)OC)C(C)=O
151,COC(=O)[C-](C)[N+](C)=CC(C)=O
152,CC(=O)C=[N+](C)[CH-]c1ccccc1
153,CNC(=O)C=[N+](C)[C-](C(C)=O)C(C)=O
154,COC(=O)C(C(=O)OC)=[N+](C)[CH-]C#N
155,COC(=O)C=[NH+][N-]C(C)=O
156,CNC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)C(C)=O
157,CNC(=O)[N-][NH+]=C(C(=O)NC)C(=O)NC
158,CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC
159,CNC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)c1ccccc1
160,COC(=O)C(=[NH+][C-](C)C(=O)OC)C(C)=O
161,CC(=O)C(C(C)=O)=[N+](C)[O-]
162,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)c1ccccc1
163,COC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)C(=O)OC
164,COC(=O)C=[N+](C)[N-]c1ccccc1
165,COC(=O)C(C#N)=[N+](C)[C-](C#N)C#N
166,CNC(=O)[CH-][N+](C)=Cc1ccccc1
167,C[CH-][O+]=C(C)C(=O)OC
168,CC(=O)C(c1ccccc1)=[N+](C)[CH-]c1ccccc1
169,COC(=O)C(C#N)=[NH+][O-]
170,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)c1ccccc1
171,C=[N+](C)[C-](C(=O)OC)c1ccccc1
172,CNC(=O)C(C(C)=O)=[N+](C)[N-]c1ccccc1
173,CNC(=O)C(C#N)=[N+](C)[CH-]C#N
174,CNC(=O)C(C)=[O+][C-](C#N)C(=O)OC
175,CC(=O)C=[NH+][N-]c1ccccc1
176,CNC(=O)C(=[NH+][C-](C#N)c1ccccc1)C(C)=O
177,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C(=O)OC
178,N#C[N-][NH+]=C(c1ccccc1)c1ccccc1
179,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
180,CC(=O)[CH-][O+]=C(c1ccccc1)c1ccccc1
181,CNC(=O)N=[NH+][N-]C(=O)OC
182,CNC(=O)[C-](C)[O+]=CC(=O)OC
183,COC(=O)[C-]([O+]=C(C#N)C#N)C(C)=O
184,C[N-][O+]=CC(=O)NC
185,CNC(=O)C(=[NH+][C-](C(C)=O)C(C)=O)C(=O)OC
186,CNC(=O)C=[O+][C-](C(C)=O)C(C)=O
187,CNC(=O)C(C#N)=[NH+][CH-]C#N
188,CNC(=O)C(C#N)=[N+](C)[N-]C(=O)OC
189,[CH2-][O+]=C(C)C(=O)NC
190,N#CC=[NH+][CH-]c1ccccc1
191,[CH2-][NH+]=C(C(=O)NC)C(=O)NC
192,CNC(=O)C=[N+](C)[NH-]
193,CNC(=O)[N-][N+](C)=C(C#N)C(=O)NC
194,CC(=O)C(=[NH+][C-](C)C)c1ccccc1
195,CNC(=O)C=[N+](C)[C-](C)C(C)=O
196,CNC(=O)[C-](C)[O+]=C(C(=O)OC)c1ccccc1
197,CC(=O)C(=[NH+][C-](C#N)c1ccccc1)C(C)=O
198,CC(=O)C=[NH+][O-]
199,C[C-](C#N)[NH+]=Cc1ccccc1
200,COC(=O)C(C)=[O+][C-](C#N)C(=O)OC
201,CC(=O)[C-](C#N)[N+](C)=C(C)C
202,CNC(=O)C(=[NH+][C-](C(C)=O)C(=O)NC)C(=O)NC
203,CC(=[NH+][O-])c1ccccc1
204,CNC(=O)C(C#N)=[O+][C-](C#N)c1ccccc1
205,CNC(=O)C(=[NH+][N-]C(=O)OC)C(C)=O
206,C[N-][O+]=Cc1ccccc1
207,CC(=O)C(C#N)=[NH+][O-]
208,CNC(=O)C(C#N)=[NH+][C-](C#N)c1ccccc1
209,CNC(=O)[CH-][N+](C)=C(C)C(=O)NC
210,CNC(=O)[CH-][NH+]=CC(C)=O
211,CNC(=O)[C-]([O+]=C(C(C)=O)c1ccccc1)C(=O)NC
212,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
213,COC(=O)C(=[O+][CH-]C(C)=O)c1ccccc1
214,CC(C#N)=[O+][C-](C#N)C#N
215,C=[N+](C)[C-](C(C)=O)C(C)=O
216,CNC(=O)C(C(C)=O)=[N+](C)[N-]C(C)=O
217,CNC(=O)[C-]([NH+]=C(C(=O)OC)c1ccccc1)c1ccccc1
218,CNC(=O)[C-]([O+]=C(C)c1ccccc1)C(=O)NC
219,CNC(=O)C(=[O+][C-](C#N)C#N)C(C)=O
220,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)c1ccccc1
221,C[N-][O+]=CC(=O)OC
222,N#CC(C#N)=[NH+][CH-]c1ccccc1
223,CC(=O)C(=[NH+][NH-])C(C)=O
224,COC(=O)C(=[O+][C-](C#N)C(=O)OC)C(C)=O
225,COC(=O)C(C#N)=[O+][C-](C(C)=O)c1ccccc1
226,CC(=O)[CH-][O+]=C(C#N)C#N
227,CNC(=O)C(=[O+][C-](C)C)C(=O)NC
228,N#CC(C#N)=[O+][N-]c1ccccc1
229,COC(=O)[CH-][NH+]=Cc1ccccc1
230,CC(=O)C(C)=[N+](C)[CH-]c1ccccc1
231,CNC(=O)[N-][O+]=C(C(=O)OC)C(=O)OC
232,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
233,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
234,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)C#N
235,CNC(=O)[CH-][O+]=C(C)C(=O)NC
236,CNC(=O)C(=[NH+][C-](C)C#N)c1ccccc1
237,CNC(=O)[C-]([O+]=C(C)C)C(=O)NC
238,CC(=O)C=[NH+][NH-]
239,CNC(=O)[C-]([O+]=C(C)C#N)C(C)=O
240,C[N+](=Cc1ccccc1)[C-](c1ccccc1)c1ccccc1
241,CC=[O+][O-]
242,CNC(=O)[N-][N+](C)=C(C#N)C(=O)OC
243,CNC(=O)[C-](C)[NH+]=CC#N
244,CNC(=O)[C-]([O+]=C(C(C)=O)C(C)=O)C(C)=O
245,COC(=O)[C-](C#N)[NH+]=CC#N
246,CNC(=O)[C-]([O+]=C(C)C(C)=O)C(=O)OC
247,CC(=O)[C-](c1ccccc1)[N+](C)=Cc1ccccc1
248,CNC(=O)C(=[O+][C-](C)C(C)=O)C(C)=O
249,COC(=O)[N-][N+](C)=CC(C)=O
250,CNC(=O)N=[O+][N-]C(C)=O
251,C[C-]([O+]=Cc1ccccc1)c1ccccc1
252,CC(=O)[N-][O+]=NC#N
253,COC(=O)C=[O+][O-]
254,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)NC)c1ccccc1
255,CC(=O)C(C)=[O+][C-](C)c1ccccc1
256,CC=[NH+][N-]C(C)=O
257,C=[NH+][C-](C(C)=O)c1ccccc1
258,CC(=O)[C-](C(C)=O)[N+](C)=CC#N
259,CC(c1ccccc1)=[N+](C)[O-]
260,C[CH-][N+](C)=C(C#N)C#N
261,CC(C#N)=[NH+][C-](C#N)C#N
262,CNC(=O)[C-]([O+]=C(C)C#N)C(C)=O
263,CNC(=O)[C-]([O+]=C(C(C)=O)c1ccccc1)C(=O)NC
264,C=[N+](C)[C-](C(=O)NC)c1ccccc1
265,CNC(=O)[C-]([NH+]=CC(=O)OC)C(=O)OC
266,[O-][NH+]=Nc1ccccc1
267,CNC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(=O)OC
268,CNC(=O)C(=[NH+][N-]c1ccccc1)C(=O)OC
269,COC(=O)N=[O+][N-]C(C)=O
270,C=[N+](C)[C-](C(C)=O)C(C)=O
271,COC(=O)C(C#N)=[N+](C)[CH-]c1ccccc1
272,CC(=O)[C-]([O+]=C(C#N)c1ccccc1)C(C)=O
273,CNC(=O)[C-]([NH+]=C(C(C)=O)C(=O)OC)C(=O)OC
274,COC(=O)C=[NH+][C-](C)C#N
275,CC(=O)[C-]([NH+]=C(C#N)C#N)C(C)=O
276,COC(=O)C=[N+](C)[C-](C(=O)OC)C(=O)OC
277,COC(=O)[C-](C)[NH+]=C(C#N)C(C)=O
278,CNC(=O)[C-]([NH+]=C(C(C)=O)C(C)=O)c1ccccc1
279,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C#N
280,CNC(=O)C=[N+](C)[C-](C(=O)OC)c1ccccc1
281,C[N-][N+](C)=C(C#N)c1ccccc1
282,[CH2-][N+](C)=C(C(C)=O)C(=O)OC
283,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(=O)OC
284,CNC(=O)C(C#N)=[O+][C-](C)C(=O)NC
285,CNC(=O)[CH-][N+](C)=C(C(C)=O)C(=O)NC
286,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C#N)C(C)=O
287,CC=[NH+][C-](C(C)=O)C(C)=O
288,CNC(=O)[C-](C)[NH+]=Cc1ccccc1
289,CNC(=O)[C-](C(C)=O)[N+](C)=CC(=O)OC
290,COC(=O)C(=[O+][N-]C(C)=O)C(C)=O
291,CNC(=O)C(=[NH+][C-](C)c1ccccc1)c1ccccc1
292,CNC(=O)C=[NH+][NH-]
293,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
294,CNC(=O)C(=[O+][N-]C#N)c1ccccc1
295,COC(=O)C=[O+][NH-]
296,C[CH-][N+](C)=C(C)C#N
297,C[N+](=Nc1ccccc1)[N-]c1ccccc1
298,CC(=O)C(C#N)=[O+][C-](C#N)C(C)=O
299,C(=[O+][N-]c1ccccc1)c1ccccc1
300,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
301,COC(=O)C(C(=O)OC)=[N+](C)[NH-]
302,CNC(=O)[N-][NH+]=C(C)C(C)=O
303,CC=[NH+][C-](C(C)=O)C(C)=O
304,CNC(=O)[N-][N+](C)=C(C(C)=O)C(=O)OC
305,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C#N
306,COC(=O)C(=[NH+][NH-])C(=O)OC
307,CNC(=O)C=[NH+][CH-]c1ccccc1
