,dipolarophile
154,COC(OC)=C(c1ccccc1)c1ccccc1
155,CNC(=O)/C=C\C(=O)NC
156,C=C(C)C
157,COC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
158,CO/C(C)=C(\C)OC
159,COC(=O)/C(F)=C(/F)C(=O)OC
160,COC(=O)/C(=C(\C(=O)OC)C(F)(F)F)C(F)(F)F
161,CNC(=O)/C(OC)=C(/OC)C(=O)NC
162,Br/C(=C(/Br)c1ccccc1)c1ccccc1
163,CO/C(F)=C(\F)OC
164,CC(C)=C(c1ccccc1)c1ccccc1
165,C(=C/c1ccccc1)\c1ccccc1
166,C(=C\c1ccccc1)\c1ccccc1
167,C/C(F)=C(\C)F
168,COC(=O)/C(Cl)=C(/Cl)C(=O)OC
169,COC(=O)C(C(=O)OC)=C(C(C)=O)C(C)=O
170,COC=C(OC)OC
171,C/C(=C(\C)c1ccccc1)c1ccccc1
172,CC(=O)C(C)=C(C)C
173,ClC(Cl)=C(Cl)c1ccccc1
174,CNC(=O)C(C(C)=O)=C(C(=O)NC)C(=O)NC
175,COC(OC)=C(F)F
176,COC(=O)C(Br)=C(C(=O)OC)C(=O)OC
177,CNC(=O)C(F)=C(C(=O)NC)C(=O)NC
178,COC(F)=C(F)F
179,CNC(=O)C(OC)=C(C(=O)NC)C(=O)NC
180,CO/C(=C(/OC)C(F)(F)F)C(F)(F)F
181,CNC(=O)C(OC)=C(OC)OC
182,CNC(=O)C(C(C)=O)=C(C(C)=O)C(C)=O
183,C=CC(=O)OC
184,COC(C)=C(C)C
185,CNC(=O)/C(Cl)=C(/Cl)C(=O)NC
186,CO/C=C\OC
187,CC(=O)/C(Br)=C(/Br)C(C)=O
188,COC(OC)=C(Br)Br
189,COC(OC)=C(Br)Br
190,CNC(=O)/C(=C(/C(=O)NC)c1ccccc1)c1ccccc1
191,CNC(=O)C(Cl)=C(Cl)Cl
192,CC(=O)C(C(C)=O)=C(C(C)=O)C(F)(F)F
193,CC(C)=C(C)Br
194,CNC(=O)C(Br)=C(C(=O)NC)C(=O)NC
195,CC(=O)/C(C#N)=C(\C#N)C(C)=O
196,CNC(=O)/C(C)=C(/C)C(=O)NC
197,COC(OC)=C(Cl)Cl
198,CNC(=O)/C(Cl)=C(/Cl)C(=O)NC
199,COC(=O)/C(=C(/C(=O)OC)c1ccccc1)c1ccccc1
200,CNC(=O)C#CF
201,COC#CC(C)=O
202,CC#CC(=O)OC
203,COC#COC
204,CC#CC(F)(F)F
205,CC#CC(F)(F)F
206,COC(=O)C#CBr
207,CNC(=O)C#COC
208,C#COC
209,CNC(=O)C#CCl
210,COC(=O)C#CC(C)=O
211,COC#CCl
212,CNC(=O)C#Cc1ccccc1
213,C#CC
214,CC(=O)C#CC#N
215,COC#CC(=O)OC
216,C#CC(=O)NC
217,BrC#Cc1ccccc1
218,CC(=O)C#CCl
219,CC#CC(F)(F)F
220,CNC(=O)C#CC(F)(F)F
221,COC(=O)C#CC(=O)OC
222,COC#CC(C)=O
223,COC(=O)C#CC(F)(F)F
224,COC(=O)C#CCl
225,CC#CC(=O)NC
226,COC(=O)C#Cc1ccccc1
227,COC(=O)C#CC(C)=O
228,CNC(=O)C#CF
229,CC(=O)C#CCl
230,C(#Cc1ccccc1)c1ccccc1
231,CC#CC(=O)NC
232,COC(=O)C#CC(F)(F)F
233,COC(=O)C#CCl
234,CNC(=O)C#CC(F)(F)F
235,CC#CC(=O)NC
236,CNC(=O)C#COC
237,COC#CC(C)=O
238,COC#CBr
239,CNC(=O)C#CC(C)=O
240,COC(=O)C#CC(C)=O
241,BrC#Cc1ccccc1
242,CNC(=O)C#CF
243,CC#Cc1ccccc1
244,CNC(=O)C#CC(C)=O
245,COC(=O)C#CC#N
246,COC#Cc1ccccc1
247,CC#COC
248,COC#CBr
249,CC#COC
250,CC#Cc1ccccc1
251,COC(=O)C#CC#N
252,CC#CF
253,CC(=O)C#CC(F)(F)F
254,CNC(=O)C#COC
255,CC(=O)C#Cc1ccccc1
256,COC#CCl
257,COC#CCl
258,CNC(=O)C#CC#N
259,COC#Cc1ccccc1
260,COC#CBr
261,COC#CF
262,CNC(=O)C#CC#N
263,CNC(=O)C#CC(=O)OC
264,CC#CC
265,C#CC(=O)OC
266,COC(=O)C#Cc1ccccc1
267,C#CC(=O)NC
268,CC#CBr
269,CNC(=O)C#CC(C)=O
270,C#COC
271,CC#CC(=O)NC
272,CC#CC(=O)OC
273,N#CC#Cc1ccccc1
274,CNC(=O)C#CC(F)(F)F
275,CNC(=O)C#CC#N
276,C#CC
277,CC#CF
278,COC#CC(C)=O
279,CC(=O)C#CBr
280,COC#CCl
281,COC#CBr
282,CC#Cc1ccccc1
283,CNC(=O)C#CC(F)(F)F
284,C#CC(=O)OC
285,COC#CC#N
286,COC(=O)C#CC(=O)OC
287,CC(=O)C#CC(C)=O
288,CC#CF
289,COC(=O)C#CCl
290,CC#CCl
291,COC(=O)C#CCl
292,COC#CC(F)(F)F
293,C#CC
294,COC#COC
295,CC(=O)C#CF
296,C#CC(C)=O
297,C#CC(=O)OC
298,COC#CC(=O)OC
299,BrC#Cc1ccccc1
300,C#Cc1ccccc1
301,FC#Cc1ccccc1
302,FC(F)(F)C#Cc1ccccc1
303,CNC(=O)C#Cc1ccccc1
304,CNC(=O)C#Cc1ccccc1
305,COC(=O)C#CC(=O)OC
306,CC#CC
307,C#Cc1ccccc1
308,CC#CC(F)(F)F
309,CNC(=O)C#CF
310,COC#CF
311,C(#Cc1ccccc1)c1ccccc1
312,CC(=O)C#CCl
313,N#CC#Cc1ccccc1
314,CC(=O)C#CC(F)(F)F
315,COC(=O)C#CC(C)=O
316,CC(=O)C#CBr
317,CNC(=O)C#CC(C)=O
318,C#CC(C)=O
319,COC#CCl
320,COC#CC(C)=O
321,CNC(=O)C#COC
322,COC#CC#N
323,CC#CC
324,COC(=O)C#CC#N
325,COC(=O)C#CC#N
326,COC#CC#N
327,CC#CC(=O)OC
328,BrC#Cc1ccccc1
329,CC(=O)C#CC(F)(F)F
330,COC#CCl
331,CNC(=O)C#CC(F)(F)F
332,CC(=O)C#CCl
333,C#CC(=O)NC
334,CC#CF
335,COC#CF
336,CC#CC(F)(F)F
337,COC#CBr
338,COC(=O)C#CC(C)=O
339,CNC(=O)C#CC(F)(F)F
340,COC#CCl
341,CNC(=O)C#CC(=O)OC
342,N#CC#Cc1ccccc1
343,C(#Cc1ccccc1)c1ccccc1
344,CC#CC(F)(F)F
345,C#Cc1ccccc1
346,COC#CC#N
347,CNC(=O)C#CBr
348,CC(=O)C#Cc1ccccc1
349,COC#Cc1ccccc1
350,COC#CC(C)=O
351,C(#Cc1ccccc1)c1ccccc1
352,COC#CF
353,CC#CC#N
354,CC#CC(=O)NC
355,COC#CC(=O)OC
356,CNC(=O)C#CC#N
357,COC(=O)C#CC(F)(F)F
358,CNC(=O)C#CC(=O)NC
359,C#Cc1ccccc1
